company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
APTUS BIOSCIENCES LLC,,1R43PS005315-01,,Alachua,FL,326156837,,NIH RePORTER API,,Bharat  Gawande,,,
"BLUEBIRD PHOTONICS, INC",,1R43EY038160-01,,Wayland,MA,017783824,,NIH RePORTER API,,Jongyoon  Joo,,,
"NANOHMICS, INC.",,2R44CK000679-02A1,,Austin,TX,787417510,,NIH RePORTER API,,John  Bruno,,,
"INTERLINK ELECTRONICS, INC",,1R43FD008554-01,,Irvine,CA,926182870,,NIH RePORTER API,,Mel  Findlay,,,
ARETE BIOSCIENCES,,1R43PS005313-01,,Chicago,IL,606544342,,NIH RePORTER API,,Sujit  Jangam,,,
"QUANTUMBIO, INC.",,1R44GM163476-01,,State College,PA,168012600,,NIH RePORTER API,,Lance M Westerhoff,,,
"KURIA THERAPEUTICS, INC",,1R44EY038121-01,,Little Rock,AR,722073706,,NIH RePORTER API,,Keith W Ward,,,
"SEACOAST SCIENCE, INC.",,2R44OH012498-02,,Carlsbad,CA,920111508,,NIH RePORTER API,,Sanjay V Patel,,,
"ADVANCED COOLING TECHNOLOGIES, INC.",,2R44FD007709-02,,Lancaster,PA,176015606,,NIH RePORTER API,,Prawal  Agarwal,,,
PACE DIAGNOSTICS,,1R43JG000003-01A1,,Monrovia,CA,910164838,,NIH RePORTER API,,Hiep-Hoa  Nguyen,,,
"ESPER BIOSCIENCES, INC.",,1R43PS005314-01,,Ithaca,NY,148503608,,NIH RePORTER API,,Jonathan  Alden,,,
"NEOVASCULARX, INC",,1R43EY038159-01,,San Jose,CA,94110,,NIH RePORTER API,,Hiroaki  Serizawa,,,
"CHROMOLOGIC, LLC",,1R43OH012965-01A1,,Monrovia,CA,910164244,,NIH RePORTER API,,Dmitriy V Zhukov,,,
"LO BIOSCIENCES, INC.",,2R44PS005271-02,,Rockville,MD,208522176,,NIH RePORTER API,,Maria De Los Angeles Jaime,,,
"REVBIO, INC.",,1R44AG097243-01,,Lowell,MA,018543643,,NIH RePORTER API,,Brittany  Mcdonough,,,
KOMMODO HOLDINGS CORP.,,1R41AI184248-01A1,,Shoreview,MN,551264812,,NIH RePORTER API,,Nicole J. Shirkey-Son,,,
"EYSZ, INC.",,1R44NR021881-01A1,,Berkeley,CA,94705,,NIH RePORTER API,,Rachel  Kuperman,,,
"RENOVATE BIOSCIENCES, INC.",,1R43DK142463-01,,Reisterstown,MD,211363827,,NIH RePORTER API,,Park  Kieun,,,
"SHASQI, INC.",,1R44CA306491-01,,San Francisco,CA,941072285,,NIH RePORTER API,,Jesse Mischa Mcfarland,,,
"MESA SCIENCE ASSOCIATES, INC.",,1R44AI191943-01,,Frederick,MD,21703,,NIH RePORTER API,,Gerry R Boss,,,
"SYNTR HEALTH TECHNOLOGIES, LLC",,2R44TR004975-02A1,,Irvine,CA,926170000,,NIH RePORTER API,,Ahmed Nabil Zobi,,,
"VIVA VIRAL VACCINES, INC.",,1R41AI195180-01,,Ithaca,NY,148505627,,NIH RePORTER API,,David William Buchholz,,,
"WYNNVISION, LLC",,1R44NS139774-01A1,,Richmond,VA,232191551,,NIH RePORTER API,,Carolyn A Harris,,,
"QUANT, INC.",,9R44MH144704-02A1,,Edmonds,WA,980206618,,NIH RePORTER API,,Larry  Pierce,,,
SPHERIC BIO INC,,1R43HL180201-01,,Wilmington,DE,19801,,NIH RePORTER API,,Connor  Verheyen,,,
NANOCAN THERAPEUTICS CORPORATION,,2R42CA268623-02,,Princeton,NJ,085406235,,NIH RePORTER API,,Kai  Ding,,,
"LUNA BIOSCIENCE, INC.",,1R41AI188742-01A1,,Westport,CT,068802913,,NIH RePORTER API,,Carla Ellen Devillers,,,
"NEUROLUX, INC.",,1R43MH143569-01,,Champaign,IL,618207460,,NIH RePORTER API,,Cameron  Good,,,
LYBRA BIO INC.,,1R43AI194889-01,,Allston,MA,021341008,,NIH RePORTER API,,Nuria  Puigmal,,,
"ZENVAX, LLC",,1R41AI188656-01,,Helotes,TX,78023,,NIH RePORTER API,,Guoquan  Zhang,,,
"VENA VITALS, INC.",,1R43HL180283-01,,Irvine,CA,926173206,,NIH RePORTER API,,Joshua  Kim,,,
"PARAMITA THERAPEUTICS, INC.",,1R43CA306207-01,,San Diego,CA,921114818,,NIH RePORTER API,,Sang  Van,,,
"ORPRO THERAPEUTICS, INC.",,1R41HL180185-01A1,,San Diego,CA,921211126,,NIH RePORTER API,,Peter B Heifetz,,,
"PRODIGY BIOTECH, INC.",,1R41AI191973-01,,West Chester,PA,193821982,,NIH RePORTER API,,Satishchandran  Chandrasekhar,,,
"VISHENARY, LLC",,1R41AI188733-01A1,,Hockessin,DE,197072211,,NIH RePORTER API,,Brian  Akerley,,,
SPIRIFY PHARMA INC,,1R41NS145804-01,,Naples,FL,341081852,,NIH RePORTER API,,Lawrence R Toll,,,
"MATRISOME BIO, INC.",,1R44CA298532-01A1,,Cambridge,MA,02139,,NIH RePORTER API,,Noor  Jailkhani,,,
"INNOVATIVE DESIGN LABS, INC.",,1R44MD020606-01,,Minneapolis,MN,554144497,,NIH RePORTER API,,John Paul Condon,,,
RESPIRERX PHARMACEUTICALS INC.,,1R44NS143576-01,,Glen Rock,NJ,074521796,,NIH RePORTER API,,Rok  Cerne,,,
ANEKABIO LLC,,1R41NS143585-01,,Gainesville,FL,326080036,,NIH RePORTER API,,Vijayendran  Chandran,,,
"L2 DIAGNOSTICS, LLC",,1R41AI188982-01A1,,New Haven,CT,065300175,,NIH RePORTER API,,Alejandro  Marin Lopez,,,
"GATEWAY BIO, INC.",,1R41AI181391-01A1,,Durham,NC,277122982,,NIH RePORTER API,,Ashutosh  Chilkoti,,,
AMIRA HEALTH INC.,,1R43AG087901-01A1,,South San Francisco,CA,94080,,NIH RePORTER API,,Emilio  Sison,,,
CAREYAYA HEALTH TECHNOLOGIES INC,,1R43AG094339-01,,Research Triangle Park,NC,27709,,NIH RePORTER API,,Neal Kamal Shah,,,
NEST GENOMICS,,1R41HG014454-01,,Albany,CA,947062020,,NIH RePORTER API,,Lisa L Shah,,,
"NOVOMEDIX, INC.",,1R43AR086064-01,,San Diego,CA,92126,,NIH RePORTER API,,Luis  Marrero,,,
"SACYL PHARMACEUTICALS, INC.",,1R43HD120055-01,,Old Greenwich,CT,068701406,,NIH RePORTER API,,Gregory S. Kopf,,,
"RIDGELINE THERAPEUTICS, LLC",,1R44AG092210-01A1,,Houston,TX,770052822,,NIH RePORTER API,,Harshini  Neelakantan,,,
"JANUSQ, LLC",,1R43AG097351-01,,Rocky River,OH,441162055,,NIH RePORTER API,,Andrew Loring Schilb,,,
"EXQOR TECHNOLOGIES, INC.",,1R44AG090240-01A1,,Boston,MA,021142818,,NIH RePORTER API,,Gordana D. Vitaliano,,,
"SINOPIA BIOSCIENCES, INC.",,1R43CA295316-01A1,,San Diego,CA,92121,,NIH RePORTER API,,Bernard  Bloem,,,
